Category,Quantity,References,Value,LCSC Part #,Footprint
Capacitors,2,"C1,C2",680uF,,ELEC-RAD10
Capacitors,31,"C3,C4,C6,C9,C10,C13,C14,C15,C16,C17,C18,C19,C20,C21,C31,C33,C34,C37,C39,C41,C42,C46,C50,C55,C56,C58,C61,C62,C66,C67,C68",0402F104M500NT,C1525,CAPC1005X56N
Capacitors,1,C5,470uF,C2064,CAPAE1030X1270N
Capacitors,1,C7,0603B333K500NT,C106856,CAPC1608X90N
Capacitors,1,C8,0805YD106KAT4A,C90544,CAPC2012X152N
Capacitors,2,"C11,C12",220uF,C2063,EEHZT1E331UP
Capacitors,13,"C22,C23,C24,C25,C26,C71,C72,C73,C74,C75,C76,C77,C78",0402B104K160CT,,CAPC1005X55N
Capacitors,3,"C27,C63,C70",0402YC104KAT2A,C1525,CAPC1005X56N
Capacitors,2,"C28,C30",C1608X7R1C105KT000N,,CAPC1608X87
Capacitors,2,"C29,C57",CL10A106MQ8NNNC,,CAPC1608X87
Capacitors,2,"C32,C35",JMK316ABJ476MLHT,C395218,CAPPM3216X180N
Capacitors,4,"C36,C40,C64,C65",CC0603JRNPO9BN220,C105620,CAPC1608X87
Capacitors,1,C38,0402B222K500NT,C1531,CAPC1005X56N
Capacitors,2,"C49,C60",TAJA106K010RNJ,C7171,CAPPM3216X180N
Capacitors,1,C51,T491A105K016AT,,CAPMP3216X180
Capacitors,1,C53,0402B102K500NT,,CAPC1005X55N
Capacitors,1,C54,CL05B103KB5NNNC,,CAPC1005X55N
Capacitors,2,"C59,C69",CL05B104KO5NNNC,,CAPC1005X55N
Resistors,2,"R1,R2",0805W8J0512T5E,,RESC2012X50
Resistors,2,"R3,R4",RC0402FR-0727RL,,RESC1005X40N
Resistors,6,"R5,R9,R22,R23,R25,R26",ERJ2RKF4701X,C400631,RESC1005X40N
Resistors,17,"R6,R29,R30,R31,R32,R33,R34,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104",RC0402FR-131KP,C11702,RESC1005X40N
Resistors,2,"R7,R8",RN731ETTP3300B25,C12246,RESC1005X40N
Resistors,1,R10,0402WGF1501TCE,C25867,RESC1005X40N
Resistors,4,"R11,R13,R56,R57",CR0402F10K0Q10Z,C881209,RESC1005X40N
Resistors,3,"R12,R45,R51",CR0402FF2201G,C100309,RESC1005X40N
Resistors,1,R14,RC0402FR-07470RL,C114877,RESC1005X40N
Resistors,2,"R15,R16",RC0402JR-071KL,C105637,RESC1005X40N
Resistors,3,"R17,R18,R37",EXB-2HV103JV,C713454,EXB2HV_1
Resistors,19,"R19,R20,R21,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92",YC124-JR-0722RL,,YC124JR07220RL
Resistors,1,R24,RC0402JR-071K5L,C114451,RESC1005X40N
Resistors,1,R27,RC0402FR-1320KL,C25545,RESC1005X40N
Resistors,1,R28,RC0402FR-0727KL,,RESC1005X40N
Resistors,6,"R35,R36,R61,R62,R113,R119",RC0402FR-1310KL,,RESC1005X40N
Resistors,2,"R38,R40",RC0402JR071KL,,RESC1005X40N
Resistors,1,R39,0402WGF2201TCE,C25879,RESC1005X40N
Resistors,6,"R41,R63,R66,R67,R70,R71",RC0402FR-104K7L,C25900,RESC1005X40N
Resistors,1,R42,CR-02FL6----1K,C279981,RESC1005X40N
Resistors,8,"R43,R44,R46,R47,R52,R53,R54,R55",0402WGF330JTCE,C25105,RESC1005X40N
Resistors,3,"R48,R75,R115",RC0402FR-0722RP,C25092,RESC1005X40N
Resistors,2,"R49,R50",RC0402FR-1320KL,C25765,RESC1005X40N
Resistors,4,"R58,R59,R93,R94",YC124-JR-0733RL,,YC124JR0733RL
Resistors,6,"R60,R64,R65,R68,R69,R76",RC0402FR-0733RL,,RESC1005X55N
Resistors,2,"R72,R73",0805W8F2003T5E,,RESC2013X65N
Resistors,3,"R74,R120,R121",RC0402FR-0722RL,,RESC1005X40N
Resistors,8,"R105,R106,R107,R108,R109,R110,R111,R112",RC0402FR-0749R9L,,RESC1005X40N
Resistors,4,"R114,R116,R117,R118",RC0402FR-13100RL,C25076,RESC1005X40N
Integrated Circuits,2,"U1,U20",18250275,,SW_18250275
Integrated Circuits,1,U2,SN74LVC1G08DBVR,C7666,SOT95P280X145-5N
Integrated Circuits,1,U3,MAX6816EUS+T,C41637,MAX6816EUS
Integrated Circuits,1,U4,LM2596S-5,C347421,KTT0005B
Integrated Circuits,1,U5,LM2596S-3,C42421958,LM2596S33
Integrated Circuits,1,U6,SMD1812-260C-12V,,FUSC4632X160N
Integrated Circuits,1,U7,93LC46BT-I_SN,C16253,SOIC127P600X175-8N
Integrated Circuits,1,U8,SN74HCT04DR,C6766,SOIC127P600X175-14N
Integrated Circuits,1,U9,FT232BL,C50202054,QFP80P900X900X160-32N
Integrated Circuits,1,U10,AS6C8008-55ZIN,,SOP80P1176X120-44N
Integrated Circuits,1,U11,SST39LF040-45-4C-WH,,SOP50P1400X105-32N
Integrated Circuits,2,"U12,U18",SN74ALVC164245DGGR,,SOP50P810X120-48N
Integrated Circuits,1,U13,74LS14,,NULL
Integrated Circuits,1,U14,SN74LVC2T45DCUR,,SOP50P310X90-8N
Integrated Circuits,1,U15,Z84C0020FEC,,QFP44-10X10
Integrated Circuits,1,U16,74LVC4245APW_118,C6091,SOP65P640X110-24N
Integrated Circuits,1,U17,SN74LVC1G08DBVR,C12492,SOT95P280X145-5N
Integrated Circuits,1,U19,SK22D02L4,,SK22D02L4_2
Integrated Circuits,1,U21,SX7M2.000A10F20TNN,,CB3LV3C1M5440
Integrated Circuits,1,U22,74LS08,,NULL
Integrated Circuits,2,"U23,U41",PCA9306DCUR,,SOP50P310X90-8N
Integrated Circuits,1,U24,74LVC1G04GS_132,,74LVC1G3157GS132
Integrated Circuits,1,U25,74LVC1G32GV,,SOT95P275X110-5N
Integrated Circuits,2,"U26,U27",74LVC1G74DP_125,,SOP65P400X110-8N
Integrated Circuits,1,U28,74LVC1G139DCUTG4,C153798,SOP50P310X90-8N
Integrated Circuits,1,U29,"74LVC4245APW,118",C6091,SOP65P640X110-24N
Integrated Circuits,1,U30,SK12D07VG3,,SK12D07VG3
Integrated Circuits,1,U31,CH376S,,SOP28
Integrated Circuits,1,U32,AY38912,,DIL286
Integrated Circuits,1,U33,74LVC3G04DP_125,,SOP65P400X110-8N
Integrated Circuits,1,U34,TMUX1247DCKR,,SOT65P210X110-6N
Integrated Circuits,1,U35,LM4871MM/NOPB,C47089164,SOP65P490X110-8N
Integrated Circuits,1,U36,SN76489,,DIL16
Integrated Circuits,1,U37,TXS0102VDCUR,,SOP50P310X90-8N
Integrated Circuits,1,U38,SM231508-1,,SM2315081
Integrated Circuits,1,U40,SN74LVC08ADE4,C468253,SOIC127P600X175-14N
Diodes,11,"D1,D6,D11,D14,D15,D16,D27,D28,D29,D30,D31",TVS3V3L4U_E6327,C132185,SOT95P250X110-6N
Diodes,7,"D2,D3,D4,D21,D22,D25,D26",PESD5V0L1BA,C2827691,SOD2512X110N
Diodes,5,"D5,D7,D9,D13,D17",KT-0603R,C2286,LEDC1608X80N
Diodes,2,"D8,D10",SS54B-HF,,DIOM5235X244N
Diodes,2,"D12,D23",BL-HGE36G-AV-TRB,C165982,LEDC1610X50N
Diodes,3,"D18,D19,D24",PESD3V3L1BA,C2687129,SOD2512X110N
Diodes,1,D32,1N4007,,DO41
Diodes,1,D33,B5819W-TP,,SOD3716X135N
Miscellaneous,3,"F1,F2,F4",JK-NSMD300L,C516068,1206L075SLYR
Miscellaneous,1,F3,MF-NSMF050-2,C89655,FUSC3216X85N
Miscellaneous,1,J1,12401598E42A,,NULL
Miscellaneous,1,J2,USBC24SGHZSMT,,VALCON_USBC24SGHZSMT
Miscellaneous,1,J3,FC68148S,,FC68148S_2
Miscellaneous,3,"J4,J16,J19",AU-Y1005-R,,CON4_1X4_USB_AM
Miscellaneous,2,"J5,J15",CONN-H4,,CONN-SIL4
Miscellaneous,5,"J6,J7,J8,J17,J24",CONN-H2,,CONN-SIL2
Miscellaneous,1,J9,10073456-061LF,,CON50_2X25_US_FCI
Miscellaneous,1,J10,DSPCONN-DIL40,,DSPCONN-DIL40
Miscellaneous,3,"J11,J12,J13",10129382-912001BLF,,CON12_2X6_R2_FCI
Miscellaneous,1,J14,47151-1061,,471511061
Miscellaneous,2,"J18,J21",SSW-104-22-S-D-RA,,SSW-104-XX-YYY-D-RA
Miscellaneous,1,J20,SJ23574ASMTTR,,CUI_SJ23574ASMTTR
Miscellaneous,3,"J22,J23,J26",ARDUINO-SIL4,,ARDUINO-SIL4
Miscellaneous,1,J25,KCD1 SW,,CONN-SIL3
Miscellaneous,2,"L1,L2",SRR1260-330M,C840528,SRR1260-150M
Miscellaneous,1,X1,12MHz,C14871,ABLS
Miscellaneous,1,X2,ABLS2-6,C596830,ABLS
