Part ID,Mid X,Mid Y,Layer,Rotation
U31,86.9676,42.4726,TOP,-90
X1,78.9991,54.9224,TOP,-180
U15,4.44917,42.9224,TOP,-270
R52,110.533,-41.0436,TOP,-180
R54,113.033,-41.0436,TOP,0
R53,116.499,-40.9776,TOP,-180
R55,118.899,-40.9776,TOP,0
R51,108.302,-37.8775,TOP,0
R45,102.602,-37.8775,TOP,-180
R43,97.7021,-40.5775,TOP,-180
R44,98.8159,-42.0675,TOP,0
R47,101.616,-42.0675,TOP,-180
R46,102.716,-40.5775,TOP,0
R56,118.249,20.7725,TOP,-90
R57,105.699,2.9225,TOP,-180
C50,103.336,10.7725,TOP,-270
C42,94.7991,34.5224,TOP,0
C56,105.899,1.2225,TOP,-180
C36,89.2492,55.1226,TOP,-270
C40,68.6491,55.1226,TOP,-270
D23,93.3491,32.3225,TOP,0
R42,90.2492,32.7726,TOP,-270
C33,-123.151,-55.1274,TOP,-270
U9,-113.451,45.4825,TOP,0
U7,-121.581,55.5074,TOP,-180
C8,-110.141,54.4225,TOP,-180
C6,-120.381,48.7576,TOP,-270
C9,-110.701,52.8226,TOP,-180
R14,-114.581,52.7576,TOP,-270
D13,-110.531,36.5074,TOP,0
D12,-110.531,38.7076,TOP,0
R15,-113.331,38.6075,TOP,0
R16,-114.131,36.5074,TOP,0
R11,-120.381,46.4576,TOP,-270
R9,-121.581,46.4576,TOP,-270
R4,-133.091,38.6276,TOP,-180
R3,-133.091,39.8275,TOP,-180
R10,-121.581,43.9575,TOP,-90
R12,-116.851,57.0725,TOP,-90
R13,-115.551,57.0725,TOP,-90
C7,-120.281,43.5074,TOP,-270
C11,-114.301,16.0225,TOP,-180
D8,-121.601,-5.37751,TOP,-180
L1,-122.051,3.67251,TOP,-270
R8,-133.551,11.8725,TOP,-270
D7,-131.001,11.9225,TOP,-180
R48,98.4659,-9.06963,TOP,-270
U35,107.24,-11.4175,TOP,-180
C51,107.54,-15.9175,TOP,-180
R50,107.192,-8.41741,TOP,-180
C39,83.0991,50.1726,TOP,-180
U8,-121.051,27.6624,TOP,0
D5,-113.084,29.3324,TOP,-180
R5,-134.691,21.6125,TOP,-270
C4,-130.001,29.1625,TOP,0
U3,-129.651,25.5626,TOP,-90
C10,-117.951,34.3624,TOP,0
C46,103.14,-11.3675,TOP,-270
U29,64.4492,-12.3775,TOP,-180
U34,101.499,-4.57751,TOP,-180
R40,118.316,26.3324,TOP,0
R38,74.8325,15.3426,TOP,-180
R39,74.8993,13.0225,TOP,0
C38,74.7992,14.1225,TOP,0
U12,-17.4008,22.3725,TOP,-90
U18,26.3992,22.4125,TOP,-90
C37,76.599,21.3725,TOP,0
F1,-127.751,16.8225,TOP,-180
D4,-133.891,36.7274,TOP,-180
D3,-133.891,41.7274,TOP,-180
F3,73.1492,-38.9275,TOP,-90
C35,70.249,-33.9275,TOP,-90
C32,64.2991,-21.6775,TOP,0
C49,106.199,-45.8775,TOP,0
C60,117.259,-45.8676,TOP,0
D25,104.449,46.5724,TOP,-90
D26,104.549,42.2725,TOP,-270
D19,-126.401,-55.1774,TOP,0
D18,93.8992,-37.1775,BOTTOM,-180
D24,100.149,-10.7275,TOP,-90
D2,-133.891,44.2275,TOP,0
U11,-73.9508,9.92251,TOP,0
U10,-51.4507,4.82249,TOP,0
U4,-137.433,4.2225,TOP,0
U6,-131.351,-40.5074,TOP,-90
C5,-121.451,-36.9275,TOP,-270
U5,-137.418,-14.8775,TOP,0
D10,-121.601,-25.0775,TOP,-180
L2,-121.751,-14.7275,TOP,-270
C12,-108.251,-18.1275,TOP,-90
R7,-137.651,-6.5275,TOP,-90
D9,-140.301,-6.57751,TOP,0
F2,-110.351,-6.27751,TOP,0
R37,59.7992,29.7726,TOP,0
R17,-29.5008,23.4825,TOP,-270
R18,-5.40083,23.4825,TOP,-90
C3,-124.401,49.1226,TOP,-180
C31,61.1993,-17.8775,TOP,-180
C34,67.9991,-17.7775,TOP,0
C14,-42.3009,4.4225,TOP,0
C13,-83.7009,10.0225,TOP,-180
C15,-14.6508,28.3726,TOP,-90
C16,-12.9008,21.3996,BOTTOM,0
C20,28.6992,30.4226,TOP,0
C21,29.4493,15.2725,TOP,-270
C18,9.86917,25.3325,TOP,-270
C17,4.44917,33.6725,TOP,-270
D17,21.5992,43.9224,TOP,0
R24,18.7659,43.3824,TOP,-270
D21,80.5492,-46.4274,TOP,-270
D22,82.949,-46.4274,TOP,-270
R22,21.6992,47.0225,TOP,0
R25,21.6992,40.4226,TOP,0
R23,21.6992,45.7225,TOP,0
R26,21.6992,39.1226,TOP,0
R2,-133.051,52.6225,TOP,-180
R1,-133.051,54.8226,TOP,0
U16,4.06916,22.7825,TOP,-90
C19,10.1064,19.4005,TOP,-270
U17,12.3992,31.8724,TOP,-90
U14,42.4266,14.2254,TOP,0
R20,-5.30083,-45.9575,TOP,-180
D16,-54.9509,-44.9275,BOTTOM,-180
D15,-65.2508,-45.0774,BOTTOM,180
R19,-5.30083,-33.1574,TOP,-180
R21,14.0992,-22.4575,TOP,-180
D14,-75.6509,-45.0276,BOTTOM,180
D11,-86.7509,-44.9776,BOTTOM,-180
D6,-95.3508,-44.9776,BOTTOM,-180
D1,-115.801,-53.1774,BOTTOM,-90
R59,-22.3008,-25.6974,TOP,0
R58,-22.3008,-9.5775,TOP,0
D31,-55.5508,-59.5274,BOTTOM,0
D30,-65.3509,-59.1774,BOTTOM,0
D29,-75.7509,-59.5274,BOTTOM,0
D28,-85.8507,-59.5775,BOTTOM,0
D27,-95.9508,-59.5775,BOTTOM,0
U2,109.161,2.31093,TOP,-90
R62,-121.051,-55.1274,TOP,-90
U37,60.9491,-26.7774,TOP,0
R41,69.3834,-26.0934,TOP,-270
R63,69.4492,-28.8275,TOP,90
U40,46.8092,-10.8375,TOP,-270
C62,40.0992,-16.9775,TOP,-180
C61,40.1493,-7.9775,TOP,-180
X2,-96.851,49.8724,TOP,-90
C64,-102.651,51.1226,TOP,-180
C65,-102.651,48.5224,TOP,-180
C63,-106.751,40.8724,TOP,90
R64,36.0159,16.1326,TOP,-180
R65,29.4991,1.7225,TOP,-180
C66,109.349,-1.0775,TOP,0
C67,111.099,-31.0774,TOP,0
C68,117.599,-31.1775,TOP,-180
R66,110.533,-42.3436,TOP,0
R67,113.033,-42.3436,TOP,-180
R70,116.499,-42.3776,TOP,0
R71,118.899,-42.3776,TOP,-180
R72,111.599,-32.8775,TOP,0
R73,117.099,-32.8775,TOP,-180
U23,111.649,-37.6776,TOP,-90
U41,117.299,-37.5575,TOP,-90
R68,-112.984,25.2325,TOP,-180
C53,8.90915,51.9224,TOP,0
C54,94.3092,-10.3775,TOP,0
R69,-112.984,23.5325,TOP,-180
R74,39.7657,11.2826,TOP,-270
R75,25.9591,3.73256,TOP,0
R76,29.4991,0.422501,TOP,-180
R78,-5.30083,-10.3575,TOP,0
R79,-5.30083,-5.95749,TOP,0
R80,-5.30083,-20.8575,TOP,0
R81,-5.30083,-16.5575,TOP,0
R77,-15.2008,12.4425,TOP,0
R82,-12.4008,12.4425,TOP,0
R83,-18.7009,12.4425,TOP,0
R84,-21.4508,12.4225,TOP,0
R85,-22.3008,-20.8575,TOP,0
R86,-22.3008,-5.1975,TOP,0
R87,4.99915,12.4425,TOP,-180
R88,2.29916,12.4425,TOP,-180
R89,-5.30083,-41.0576,TOP,0
R90,-5.30083,-28.3576,TOP,0
R91,-95.6008,-37.2575,BOTTOM,0
R92,-86.6008,-37.2976,BOTTOM,0
R93,-22.1708,-39.7274,TOP,-90
R94,-22.1708,-37.3276,TOP,-90
C59,-135.151,-28.1775,TOP,-270
C69,-127.991,-5.27751,TOP,0
C70,56.7492,-24.9275,TOP,-270
F4,57.26,-32.4683,TOP,-90
C78,58.0492,-45.5374,TOP,270
C24,60.3491,-33.6375,TOP,-90
C77,59.1492,-45.5374,TOP,270
C76,60.7492,-45.5374,TOP,-90
C75,61.8493,-45.5374,TOP,-90
C71,67.249,-45.5374,TOP,270
C72,66.1492,-45.5374,TOP,270
C73,64.5493,-45.5374,TOP,270
C74,63.4492,-45.5374,TOP,270
R105,67.3491,-48.4274,TOP,-90
R104,35.4493,-52.5275,TOP,-90
R106,65.8492,-48.4274,TOP,270
R107,64.6491,-48.4274,TOP,-90
R108,63.1492,-48.4274,TOP,-90
R109,61.9491,-48.4274,TOP,-90
R110,60.4492,-48.4274,TOP,-90
R111,59.2491,-48.4274,TOP,-90
R112,57.7492,-48.4274,TOP,-90
R103,34.1493,-52.5275,TOP,-270
R100,35.4493,-58.0276,TOP,-90
R99,34.1493,-58.0276,TOP,-270
R101,34.1493,-50.3276,TOP,-90
R102,35.4493,-50.3276,TOP,-270
R98,35.4493,-55.6275,TOP,-270
R97,34.1493,-55.6275,TOP,-90
C22,52.9092,-30.6776,TOP,180
C23,52.9092,-29.6776,TOP,0
D33,51.5691,-32.5775,TOP,180
R96,35.4493,-47.2275,TOP,-90
R27,58.0492,-61.6453,BOTTOM,-270
R95,34.1493,-47.2275,TOP,-270
R28,59.2491,-61.6275,BOTTOM,-270
R29,34.1493,-60.8274,TOP,-90
R30,35.4493,-60.8274,TOP,90
R31,34.1493,-63.0276,TOP,90
R32,35.4493,-63.0276,TOP,-90
R33,34.1493,-45.0276,TOP,-90
R34,35.4493,-45.0276,TOP,-270
C26,77.2091,-44.9776,TOP,-180
R35,-140.841,25.6327,TOP,0
R36,-107.601,52.6225,TOP,0
R60,33.1158,15.9326,TOP,-180
R61,33.1158,14.5326,TOP,-180
R113,36.0159,17.4326,TOP,-180
R114,124.709,28.6824,TOP,-270
C25,18.0659,40.2725,TOP,-90
U21,66.7659,14.1926,TOP,-90
C27,60.8658,13.5326,TOP,-270
R115,71.8657,9.98256,TOP,-90
R116,75.1159,19.2325,TOP,-180
R117,75.1159,16.8326,TOP,-180
R118,75.1159,18.0326,TOP,-180
R119,112.616,-13.9675,TOP,-180
C28,111.266,-6.96745,TOP,-180
C29,107.166,-6.96745,TOP,-180
C30,112.666,-11.7674,TOP,0
C57,112.566,-16.4675,TOP,-90
R49,111.416,-8.46745,TOP,0
R120,38.3659,13.8825,TOP,-90
R121,39.8658,1.98255,TOP,-90
R6,-112.957,26.9326,TOP,-180
U25,15.4659,26.8826,TOP,-90
U27,56.0659,-4.66745,TOP,0
C58,57.6158,-1.16745,TOP,-180
U28,44.0159,-18.9475,TOP,-270
U26,62.2658,-4.66745,TOP,0
C41,64.3659,-1.31745,TOP,-270
U33,45.4657,-3.26746,TOP,0
C55,49.4657,-2.61744,TOP,-90
C43,43.4091,29.1826,TOP,-270
C44,14.0092,12.4565,TOP,-90
C45,-64.3407,-32.6674,TOP,0
C47,-70.7408,-35.9674,TOP,-180
C48,-63.3308,-30.8673,TOP,0
C52,-71.8309,-33.6674,TOP,-180
U39,-0.29084,56.6326,TOP,-180
R122,157.159,3.43256,TOP,0
R123,157.209,1.93255,TOP,-180
C79,149.959,-46.3674,TOP,-180
D20,144.959,-48.1675,TOP,-180
D34,149.059,-48.1675,TOP,0
U42,149.409,-43.1676,TOP,-270
F5,136.009,-43.6674,TOP,-180
R124,147.109,-44.9174,TOP,-270
R125,147.109,-42.4175,TOP,-270
C81,139.509,-48.1675,TOP,0
C80,138.569,-46.2674,TOP,-180
